rank,research_tier,ticker,company_name,industry,market_cap,short_float_pct,days_to_cover,catalyst_sources,earliest_catalyst_date,catalyst_detail,edgar_hits,ctgov_hits,pdufa_hits
1,FULL,BBHVN,Biohaven Ltd,Biotechnology,2.25B,,6.24,CT.gov,2026-10,CT.gov NCT06132893 PCD 2026-12 [RECRUITING] A Study to Determine if BHV-7000 is Effective and Safe in Adults With Refractory || CT.gov NCT06309966 PCD 2026-10 [ACTIVE_NOT_RECRUITING] Study to Determine if BHV-7000 is Effective and Safe in Adults With Refractory F,0,2,0
2,FULL,EEYPT,EyePoint Inc,Biotechnology,437.96M,,6.24,CT.gov,2026-10,CT.gov NCT06683742 PCD 2026-10 [ACTIVE_NOT_RECRUITING] A 2-year Study of EYP-1901 in Subjects With Wet Age Related Macular Degeneration,0,1,0
3,FULL,MMIRM,Mirum Pharmaceuticals Inc,Biotechnology,6.37B,,8.05,CT.gov,2026-10,CT.gov NCT06553768 PCD 2026-10 [ACTIVE_NOT_RECRUITING] Evaluation of Maralixibat in Pruritus Associated With General Cholestatic Liver ,0,1,0
4,FULL,RRGNX,Regenxbio Inc,Biotechnology,606.84M,,4.14,CT.gov,2026-10,CT.gov NCT05407636 PCD 2026-10 [ACTIVE_NOT_RECRUITING] Pivotal 2 Study of RGX-314 Gene Therapy in Participants With nAMD || CT.gov NCT04704921 PCD 2026-12 [ACTIVE_NOT_RECRUITING] Pivotal 1 Study of ABBV-RGX-314 (Also Known as RGX-314) Gene Therapy Administere,0,2,0
5,FULL,AANNX,Annexon Inc,Biotechnology,970.64M,,9.06,CT.gov,2026-10-31,CT.gov NCT06510816 PCD 2026-10-31 [ACTIVE_NOT_RECRUITING] A Study Investigating the Efficacy and Safety of Intravitreal (IVT) Injections o || CT.gov NCT07020819 PCD 2026-12-31 [RECRUITING] An Open Label Clinical Study to Evaluate Tanruprubart (Also Commonly Known as AN,0,2,0
6,FULL,OOLMA,Olema Pharmaceuticals Inc,Biotechnology,954.60M,,11.19,CT.gov,2026-10-31,CT.gov NCT06016738 PCD 2026-10-31 [ACTIVE_NOT_RECRUITING] OP-1250 (Palazestrant) vs. Standard of Care for the Treatment of ER+/HER2- Advan,0,1,0
7,FULL,SSRPT,Sarepta Therapeutics Inc,Biotechnology,1.99B,,8.29,CT.gov,2026-10-31,CT.gov NCT03992430 PCD 2026-10-31 [ACTIVE_NOT_RECRUITING] A Study to Compare Safety and Efficacy of High Doses of Eteplirsen in Participan,0,1,0
8,FULL,TTGTX,TG Therapeutics Inc,Biotechnology,8.50B,,12.28,CT.gov,2026-10-31,"CT.gov NCT07211633 PCD 2026-10-31 [ACTIVE_NOT_RECRUITING] A Study to Evaluate the Pharmacokinetics, Pharmacodynamics, Safety, Radiological",0,1,0
9,FULL,CCGON,Cg Oncology Inc,Biotechnology,7.01B,,11.1,CT.gov,2026-11,CT.gov NCT06111235 PCD 2026-11 [ACTIVE_NOT_RECRUITING] A Study of Adjuvant Cretostimogene Grenadenorepvec for Treatment of Intermediate,0,1,0
10,FULL,AAVIR,Atea Pharmaceuticals Inc,Biotechnology,430.70M,,23.15,CT.gov,2026-12,CT.gov NCT07037277 PCD 2026-12 [ACTIVE_NOT_RECRUITING] C-Forward: Efficacy and Safety of BEM/RZR vs SOF/VEL in Subjects With Chronic HC,0,1,0
11,FULL,DDMAC,DiaMedica Therapeutics Inc,Biotechnology,363.46M,,27.55,CT.gov,2026-12,CT.gov NCT05065216 PCD 2026-12 [RECRUITING] Treatment of Acute Ischemic Stroke (ReMEDy2 Trial),0,1,0
12,FULL,GGOSS,Gossamer Bio Inc,Biotechnology,99.92M,,3.14,CT.gov,2026-12,CT.gov NCT06274801 PCD 2026-12 [RECRUITING] Open-label Extension Study of Seralutinib in Adult Subjects With PAH (PROSERA-EX,0,1,0
13,FULL,IIONS,Ionis Pharmaceuticals Inc,Biotechnology,10.66B,,7.22,CT.gov,2026-12,CT.gov NCT05392114 PCD 2026-12 [ACTIVE_NOT_RECRUITING] A Study to Assess the Long-Term Safety and Efficacy of Donidalorsen in the Proph,0,1,0
14,FULL,KKPTI,Karyopharm Therapeutics Inc,Biotechnology,44.23M,,7.75,CT.gov,2026-12,CT.gov NCT04442022 PCD 2026-12 [ACTIVE_NOT_RECRUITING] A Study of Rituximab-Gemcitabine-Dexamethasone-Platinum (R-GDP) With or Without ,0,1,0
15,FULL,KKRYS,Krystal Biotech Inc,Biotechnology,10.65B,,7.86,CT.gov,2026-12,CT.gov NCT07016750 PCD 2026-12 [RECRUITING] A Study Comparing KB803 and Matched Placebo in Patients With Dystrophic Epidermo,0,1,0
16,FULL,MMANE,Veradermics Inc,Biotechnology,4.25B,,5.52,CT.gov,2026-12,CT.gov NCT06972264 PCD 2026-12 [ACTIVE_NOT_RECRUITING] Safety and Efficacy of VDPHL01 in Males With AGA,0,1,0
17,FULL,VVIR,Vir Biotechnology Inc,Biotechnology,1.86B,,10.55,CT.gov,2026-12,CT.gov NCT07128550 PCD 2026-12 [ACTIVE_NOT_RECRUITING] A Study to Evaluate Tobevibart+Elebsiran in Participants With Chronic HDV Infect || CT.gov NCT06903338 PCD 2026-12-31 [ACTIVE_NOT_RECRUITING] A Study to Evaluate Tobevibart + Elebsiran in Chronic HDV Infection,0,2,0
18,FULL,BBCRX,Biocryst Pharmaceuticals Inc,Drug Manufacturers - Specialty & Generic,2.40B,,7.46,CT.gov,2026-12,CT.gov NCT06842823 PCD 2026-12 [ACTIVE_NOT_RECRUITING] A Study of Navenibart in Participants With Hereditary Angioedema,0,1,0
